图片地址,商品价格,商店名称,评论数量,商品链接,标题,商品比重
https://img10.360buyimg.com/n7/jfs/t1/86594/31/18665/104942/5e955677E6eff04cd/4d9d858b30f5a54c.jpg,3489,科族数码专营店,21076,https://item.jd.com/12966165081.html,【新品上市】APPLE苹果2019新款iPadAir310.5英寸平板电脑pad金色64G-WLAN版【官方标配】,47
https://img10.360buyimg.com/n7/jfs/t1/103214/20/13913/76733/5e5ca8e2E919d238a/9793dda696c885f3.jpg,2769,科族数码专营店,230145,https://item.jd.com/11244282628.html,APPLE苹果ipad2019新款10.2英寸iPad2018款9.7英寸平板电脑air2更新版7代金色新款128GWLAN版标配,72
https://img10.360buyimg.com/n7/jfs/t1/129158/38/3224/332207/5ecf8ba7E74753c60/ca4097ca32e281d9.jpg,5288,小皮科技二手商品旗舰店,2650,https://item.jd.com/66692906960.html,【二手99新】新款APPLE苹果平板PadPro11英寸air3/mini5二合一平板电脑全面屏【高性价比】iPadPro11寸256G深灰色WIFI无线版+壳膜充电套装,56
https://img10.360buyimg.com/n7/jfs/t1/119334/28/8815/369746/5ed3d356E21d38a63/60139f0ae1ebb445.jpg,1399,泰业优品二手手机旗舰店,669,https://item.jd.com/32668854006.html,【二手9成新】AppleiPad2/iPad3/iPad4/ipad5/ipad6/二手平板iPadAirWiFi版32G银色颜色随机,80
https://img10.360buyimg.com/n7/jfs/t1/112293/14/8852/120590/5ed46241Eed36c2d0/b71c709be4104767.jpg,3539,佳沪平板电脑专营店,2064,https://item.jd.com/45031941841.html,Apple苹果iPadAir32019款平板电脑10.5英寸灰色64GWLAN版,31
https://img10.360buyimg.com/n7/jfs/t1/131067/29/1013/136656/5ed49b6dEfd0558b5/b87b7e5c638bb88d.jpg,2728,佳沪平板电脑专营店,4355,https://item.jd.com/56706273726.html,Apple苹果iPad2019新款第7代10.2英寸平板电脑金色128GBWIFI版,27
https://img10.360buyimg.com/n7/jfs/t1/95353/35/17610/101443/5e855f13E182947ca/1c88e84aac9c9a5f.jpg,1599,联想京东自营旗舰店,15109,https://item.jd.com/100012178248.html,联想(Lenovo)M10PLUS平板电脑10.3英寸全高清4G+64GB支持学生模式德国莱茵护眼pad网课平板WIFI,23
https://img10.360buyimg.com/n7/jfs/t1/114161/10/8714/179570/5ed3dc7bEb38099d5/24c7954c33fdf57b.jpg,2785,科族数码专营店,67114,https://item.jd.com/11302227146.html,【mini新品上市】APPLE苹果2019新款iPadmini5/mini4更新平板电脑7.9英寸金色【新品】mini5-64G-WLAN版,63
https://img10.360buyimg.com/n7/jfs/t1/109274/20/648/24615/5df6fa88Ec5458319/2f89a6fc2b159406.jpg,1749,联想京东自营旗舰店,15104,https://item.jd.com/100005379519.html,联想(Lenovo)YOGATAB5平板电脑10.1英寸全高清4G+64G杜比全景声八核安卓pad网课平板WIFI,23
https://img10.360buyimg.com/n7/jfs/t1/119437/20/6272/79753/5ec5dfaeE0821db56/38856aaa3a459870.jpg,929,科族数码专营店,20357,https://item.jd.com/35680674189.html,ApplePencil一代/二代适用苹果iPad/Air310.5/mini5/pro11手写笔ApplePencil（第二代）,22
https://img10.360buyimg.com/n7/jfs/t1/116306/22/9022/152060/5ed51ca2E3239994e/b0a63e64fc7d6171.jpg,2968,APPLE翔合专卖店,119615,https://item.jd.com/26689180349.html,苹果（Apple）ipad2019新款第7代10.2英寸2018款9.7英寸air2更新版平板电脑银色19款10.2英寸128GWLAN版副厂笔+壳膜,68
https://img10.360buyimg.com/n7/jfs/t1/108961/24/9779/141961/5e771427E58561bb9/f90b2377c8b7bc06.jpg,1249,乐锐淘二手商品专营店,373,https://item.jd.com/56927515154.html,【二手9成新】Apple苹果iPadAir1/Air2苹果平板电脑9.7英寸银色【iPadair2】16GBWIFI+充电装,24
https://img10.360buyimg.com/n7/jfs/t1/117450/30/8852/149551/5ed51ac8E2e8bc5b4/0d2bf4381ddc3b44.jpg,9978,鑫晨星平板专营店,61,https://item.jd.com/65543306031.html,微软（Microsoft）全新SurfaceProX二合一办公平板电脑笔记本轻薄便携移动商务【13英寸】8G/256GLTE增强版【热卖】【晒图送原装鼠标】标配+原装键盘+拓展坞大礼包,62
https://img10.360buyimg.com/n7/jfs/t1/134629/35/902/142573/5ed37275E022764b0/7e7c65d1de3a5223.jpg,6578,佳沪平板电脑专营店,1081,https://item.jd.com/66800118885.html,AppleiPadPro11/12.9英寸2020年新款苹果平板电脑深空灰色-11英寸256GWLAN版,34
