图片地址,商品价格,商店名称,评论数量,商品链接,标题,商品比重
https://img10.360buyimg.com/n7/jfs/t1/125036/11/3488/181509/5ed227c1E169ca062/13249bac46bf8ba8.jpg,2449,小米京东自营旗舰店,22601,https://item.jd.com/100012816024.html,【向往的生活同款】小米10青春版双模5G骁龙765G50倍潜望式变焦四摄8GB+128GB黑巧风暴游戏手机,21
https://img10.360buyimg.com/n7/jfs/t1/119142/11/8970/268147/5ed516e6E97c234d0/88f18d89f79ad732.jpg,7999,三星手机京东自营官方旗舰店,9394,https://item.jd.com/100006349791.html,三星GalaxyS20+5G(SM-G9860)双模5G骁龙865120Hz超感屏8K视频游戏手机12GB+128GB幻游黑,34
https://img10.360buyimg.com/n7/jfs/t1/122569/1/3597/232913/5ed51467E1f7fa521/8c9285a9143fe67d.jpg,4749,拍拍二手官方旗舰店,3952,https://item.jd.com/65417784590.html,【二手99新】AppleiPhone11苹果11国行原装双卡双待二手手机移动联通电信4G黑色128G全网通,22
https://img10.360buyimg.com/n7/jfs/t1/132499/25/1107/248145/5ed51471Ef0c5e91a/2ba187d964f4343f.jpg,6999,拍拍二手官方旗舰店,608,https://item.jd.com/65417891123.html,【二手99新】AppleiPhone11Pro苹果11Pro国行原装二手手机移动联通电信4G暗夜绿色256G全网通,23
https://img10.360buyimg.com/n7/jfs/t1/122704/10/3540/93590/5ed376f8Ef01773bd/b5ca1ab327f9f448.jpg,3199,荣耀京东自营旗舰店,44339,https://item.jd.com/100012545832.html,荣耀3050倍远摄麒麟9855G4000万超广角AI四摄3200W美颜自拍全网通版8GB+128GB钛空银全面屏手机,30
https://img10.360buyimg.com/n7/jfs/t1/111522/26/8807/89707/5ed27eb3E10901da7/5f6dcae5644d2e0a.jpg,3999,荣耀京东自营旗舰店,44857,https://item.jd.com/100012545868.html,荣耀30Pro50倍远摄麒麟9905G4000万超感光摄影3200W美颜自拍全网通版8GB+128GB钛空银全面屏手机,34
https://img10.360buyimg.com/n7/jfs/t1/119149/33/9058/253611/5ed5147aE145c89d2/7d89392eb0ef4752.jpg,6969,拍拍二手官方旗舰店,967,https://item.jd.com/65418380855.html,【二手99新】AppleiPhone11ProMax苹果11ProMax国行原装二手手机深空灰64G全网通,22
https://img10.360buyimg.com/n7/jfs/t1/116031/2/8938/171257/5ed4b554E05266111/9d949560bd3788aa.jpg,4299,鸿兴优品二手手机专营店,1899,https://item.jd.com/57065052002.html,【二手99成新】AppleiPhone11(A2223)移动联通电信4G手机双卡双待黑色64G全网通,38
https://img10.360buyimg.com/n7/jfs/t1/129098/5/3552/95679/5ed28ef5E7e3db1aa/56fcf60a46eaab60.jpg,2399,荣耀京东自营旗舰店,126578,https://item.jd.com/100012309040.html,荣耀30S麒麟8205G芯片3倍光学变焦20倍数字变焦全网通版8GB+128GB蝶羽白,28
https://img10.360buyimg.com/n7/jfs/t1/113651/23/8680/330756/5ed0f2e1E54953f2d/e61a77b648a5d1e5.jpg,3699,OPPO京东自营官方旗舰店,41939,https://item.jd.com/100010658548.html,OPPOReno3Pro双模5G视频双防抖90HZ高感曲面屏7.7mm轻薄机身8GB+128GB日出印象拍照游戏视频手机,31
https://img10.360buyimg.com/n7/jfs/t1/126869/35/76/170145/5eb36579Eabbf1138/5f0cf237730b20ff.jpg,4198,零度二手商品专营店,1527,https://item.jd.com/46587368503.html,【二手99新】AppleiPhone11(A2223)苹果11双卡双待二手手机黑色64G全网通『赠苹果充电器』,42
