图片地址,商品价格,商店名称,评论数量,商品链接,标题,商品比重
https://img10.360buyimg.com/n7/jfs/t1/121499/19/1089/85373/5eb95795E3b707fe2/a86a96c17f6e7d42.jpg,1899,小米京东自营旗舰店,14776,https://item.jd.com/100007090657.html,RedmiK30极速版5G双模120Hz流速屏骁龙768G前置挖孔双摄索尼6400万后置四摄30W快充6GB+128GB深海微光游戏智能手机小米红米,26
https://img10.360buyimg.com/n7/jfs/t1/130564/13/943/229595/5ed36f4bE57358b47/986b72a99459c998.jpg,699,金立手机京东自营旗舰店,15829,https://item.jd.com/100008426582.html,金立GioneeK36GB+128GB极光蓝5000mAh大电池后置双摄6.2英寸水滴屏微信8开全网通4G双卡双待,31
https://img10.360buyimg.com/n7/jfs/t1/105043/22/17011/74703/5e834814Ec61642bb/3b86ddbe67172f96.jpg,949,iQOO官方旗舰店,1274,https://item.jd.com/67345685938.html,【6.2至高省50】vivoU3x5000mAh大电池超广角AI三摄4G全网通智能手机4GB+64GB深湖蓝,19
https://img10.360buyimg.com/n7/jfs/t1/114417/21/8922/29113/5ed33af3E6db7c068/8de3453f19643728.jpg,649,小米京东自营旗舰店,766982,https://item.jd.com/100009082500.html,Redmi8A5000mAh大电量大字体大音量大内存骁龙八核处理器AI人脸解锁莱茵护眼全面屏4GB+64GB深海蓝游戏智能老人手机小米红米,21
https://img10.360buyimg.com/n7/jfs/t1/113040/34/8843/122725/5ed3ab15Ee7418c28/191d77ef1bd983dd.jpg,2498,iQOO官方旗舰店,0,https://item.jd.com/69045657329.html,【6.1至高省200】vivoiQOOZ1双模5g天玑1000plus144Hz竞速屏游戏手机8GB+128GB星河银,
https://img10.360buyimg.com/n7/jfs/t1/119600/32/7469/155603/5ed4235dE425afe22/f0b2c79375d7c192.jpg,2998,iQOO官方旗舰店,5362,https://item.jd.com/67485152588.html,【至高省400】vivoiQOONeo3双模5G全网通龙865144Hz竞速屏电竞手机8GB+128GB夜幕黑,30
https://img10.360buyimg.com/n7/jfs/t1/136499/29/965/192883/5ed47b7eE7c5b610a/c867b5a12c4a7249.jpg,2899,鸿兴优品二手手机专营店,7078,https://item.jd.com/26850031494.html,【二手9成新】AppleiPhoneX苹果x全面屏面容识别国行全网通二手手机深空灰64G全网通,27
https://img10.360buyimg.com/n7/jfs/t1/111609/24/8759/264529/5ed48da1E8d7abcdd/04e2340087d3f33d.png,3099,马上优品二手商品旗舰店,9325,https://item.jd.com/27600678320.html,【二手99新】AppleiPhoneX苹果x二手手机全面屏面容识别银色64G全网通,56
https://img10.360buyimg.com/n7/jfs/t1/130059/7/945/43140/5ed35611E10f7f3d9/b958bc81b387ee09.jpg,849,小米京东自营旗舰店,814394,https://item.jd.com/100007958784.html,RedmiNote84800万全场景四摄4000mAh长续航高通骁龙66518W快充小金刚品质保证4GB+64GB皓月白游戏智能手机小米红米,22
https://img10.360buyimg.com/n7/jfs/t1/115089/38/8696/157057/5ed46023Ea37f9332/272cadb175aee4d6.jpg,599,小辣椒手机京东自营官方旗舰店,12368,https://item.jd.com/100003719857.html,小辣椒红辣椒8X4GB+64GB渐变黑6.2英寸水滴屏微信8开潮流渐变人脸识别全网通4G双卡双待,34
https://img10.360buyimg.com/n7/jfs/t1/114336/35/8865/111068/5ed3c25dE7ad57dfc/d11f206c1cd19cff.jpg,2198,iQOO官方旗舰店,519,https://item.jd.com/67367120469.html,【6.1至高省300】vivoZ6双模5G全网通44W超快闪充5000mAh大电池手机6GB+128GB极影黑,20
https://img10.360buyimg.com/n7/jfs/t1/114929/35/8827/249017/5ed3cf66E5dbef360/51ebfba397e37356.jpg,4799,发动机优品二手手机旗舰店,899,https://item.jd.com/61486516008.html,【二手95新】华为Mate30Pro/5G麒麟990环幕屏安卓智能商务电竞游戏拍照手机星河银8+256G5G版全网通,20
https://img10.360buyimg.com/n7/jfs/t1/108240/1/14414/475445/5ea56a6bEbec374f1/a4c93abe14cbc727.png,999,马上优品二手商品旗舰店,20262,https://item.jd.com/12175462793.html,【二手9成新】AppleiPhone6sPlus苹果6sPlus二手手机玫瑰金色32G全网通,50
https://img10.360buyimg.com/n7/jfs/t1/111802/35/9093/239873/5ed51587E283feb5e/69544b59cb7d9bdd.jpg,4719,拍拍二手官方旗舰店,3112,https://item.jd.com/59363531482.html,【二手99新】AppleiPhoneXSMax苹果XSmax国行原装二手手机公开版金色64G全网通,27
https://img10.360buyimg.com/n7/jfs/t1/132499/25/1107/248145/5ed51471Ef0c5e91a/2ba187d964f4343f.jpg,6999,拍拍二手官方旗舰店,608,https://item.jd.com/65417891123.html,【二手99新】AppleiPhone11Pro苹果11Pro国行原装二手手机移动联通电信4G暗夜绿色256G全网通,23
https://img10.360buyimg.com/n7/jfs/t1/136159/2/1069/227587/5ed51466Ec21b51e0/0a8cb87fc5eaab15.jpg,4369,拍拍二手官方旗舰店,3952,https://item.jd.com/65417784592.html,【二手99新】AppleiPhone11苹果11国行原装双卡双待二手手机移动联通电信4G白色64G全网通,22
https://img10.360buyimg.com/n7/jfs/t1/129539/38/3032/158560/5ecdbd13E3974d991/9c54ab17634af47f.jpg,2798,iQOO耀诚鑫专卖店,0,https://item.jd.com/69193156506.html,vivoiQOOZ1手机【6.1日至高省200】双模5g天玑1000plus芯片游戏144Hz星河银8G+256G,
https://img10.360buyimg.com/n7/jfs/t1/117562/25/9113/169168/5ed52820Ea25d739d/0ed296d91299b248.jpg,4299,鸿兴优品二手手机专营店,1899,https://item.jd.com/57065052002.html,【二手99成新】AppleiPhone11(A2223)移动联通电信4G手机双卡双待黑色64G全网通,38
https://img10.360buyimg.com/n7/jfs/t1/132765/4/936/234033/5ed3c1a8E2fde2b7d/d54ee7c1f575957b.jpg,4299,魅族京东自营旗舰店,3847,https://item.jd.com/100012881852.html,魅族17Pro8GB+128GB天青骁龙865旗舰5G手机27W无线充6400W后置主摄90Hz屏幕支持NFC智能游戏手机,25
https://img10.360buyimg.com/n7/jfs/t1/113182/38/8804/230478/5ed3c36bE430471de/f058c96b957345d6.jpg,5099,马上优品二手商品旗舰店,2149,https://item.jd.com/53436301457.html,【二手99新】AppleiPhoneXsMax苹果xsmaxx手机双卡双待Xsmax深空灰256G全网通,37
https://img10.360buyimg.com/n7/jfs/t1/114165/38/8664/229992/5ed1daa7E30b00562/7e0217586dc715c1.jpg,588,常开泰达手机专营店,553,https://item.jd.com/69300515012.html,朵唯9Xpro6G+64/128G全面屏拍照游戏智能手机渐变玻璃超薄机身八核学生老人全网通4G极光白(6G+64G)赠品套装一,42
https://img10.360buyimg.com/n7/jfs/t1/114519/28/8856/120241/5ed3c8d1E4391e335/038d8312c46107f2.jpg,2349,好机汇二手商品专营店,14576,https://item.jd.com/29864659403.html,【二手9成新】苹果8Plus手机AppleiPhone8Plus苹果8P二手手机深空灰64G全网通,29
https://img10.360buyimg.com/n7/jfs/t1/115997/24/7883/139803/5ec7ac69Eb5123f2c/2d14713a79abfdc1.jpg,1298,炜东电商旗舰店,0,https://item.jd.com/69631256889.html,【至高省300】vivoZ5618预定版手机22.5W4500mAh大电量4800万三摄全息幻彩6GB+128GB,
