商品ID,标题,价格,参数信息,评论数,好评度,热点评论词,评论用户ID,评论信息,评论时间,用户使用机型
1.00E+11,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,4488,"华为P30 Pro,100002795959,0.53kg,中国大陆,麒麟980,8GB,128GB,NM存储卡,后置四摄,4000万像素,3200万像素,景深，后置四摄，红外，微距，光学变焦，光学防抖,6.47英寸,全高清FHD+,其它屏幕比例,水滴屏,4200mAh（典型值）,10V/4A,极光色,人脸识别，快速充电，无线充电，液冷散热，高倍率变焦，屏幕指纹，防水防尘，NFC，曲面屏,≥90%,Android(安卓),40-49W",570000,97,"拍摄功能强,流畅至极,漂亮大方,性能一流,清晰度高,颜色绚丽,充电快速,手感一流,音质上乘,内存充足",13075100990,老公非常满意，充电快，耗电慢，屏幕是曲面屏幕，看着很有画面感，手感也好，大小合适，不宽但是不小，功能也好，运行快，玩游戏不卡盾，画面清晰，像素很好！总之非常满意！,2019/8/1 22:19,"天空之境,8GB+128GB,标准版"
1.00E+11,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,4488,"华为P30 Pro,100002795959,0.53kg,中国大陆,麒麟980,8GB,128GB,NM存储卡,后置四摄,4000万像素,3200万像素,景深，后置四摄，红外，微距，光学变焦，光学防抖,6.47英寸,全高清FHD+,其它屏幕比例,水滴屏,4200mAh（典型值）,10V/4A,极光色,人脸识别，快速充电，无线充电，液冷散热，高倍率变焦，屏幕指纹，防水防尘，NFC，曲面屏,≥90%,Android(安卓),40-49W",570000,97,"拍摄功能强,流畅至极,漂亮大方,性能一流,清晰度高,颜色绚丽,充电快速,手感一流,音质上乘,内存充足",13012116580,"1.	外观：具有高颜值的手机，机身正面则采用了八曲面水滴屏设计，这种设计外观好看，手感上也相当的好，背面为竖排三摄+FOF镜头的四摄组合，天空之境的色彩搭配最好看。
2.	屏幕：采用京东方的1080p屏幕，1080p的AMOLED屏幕技术更加成熟、显示更加稳定！
3.	拍摄方面：iP30pro与其说是一款手机，倒不如说它是一款手持&ldquo;望远镜&rdquo;， 50倍的变焦数可以清晰地看见远距离的景物；前置摄像头为3200万像素，后置摄像头为4000万像素+2000万像素+800万像素+TOF镜头，广角、微距、双景拍摄等功能很受大众喜爱。
4.	处理器与系统：P30pro采用自主研发的7**工艺处理的麒麟980芯片，对比目前第一梯队顶级的处理器来说， GPU方面还有很大的提升空间。 


5.	总结： P30pro手机是一款科技感十足的时尚手机，颜值、拍摄以及高性价比；非常值得考虑。
                        以上纯属个人观点，不喜勿喷。",2019/7/14 12:13,"天空之境,8GB+128GB,标准版"
1.00E+11,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,4488,"华为P30 Pro,100002795959,0.53kg,中国大陆,麒麟980,8GB,128GB,NM存储卡,后置四摄,4000万像素,3200万像素,景深，后置四摄，红外，微距，光学变焦，光学防抖,6.47英寸,全高清FHD+,其它屏幕比例,水滴屏,4200mAh（典型值）,10V/4A,极光色,人脸识别，快速充电，无线充电，液冷散热，高倍率变焦，屏幕指纹，防水防尘，NFC，曲面屏,≥90%,Android(安卓),40-49W",570000,97,"拍摄功能强,流畅至极,漂亮大方,性能一流,清晰度高,颜色绚丽,充电快速,手感一流,音质上乘,内存充足",13458321069,等了很久 终于等到你 华为P30PRO降价啦 还是套装 给老婆买的 套装专属闪闪外套 波凌波领的 女生超爱 外观精美绝伦 屏幕显示好清晰 相机功能超级强大 拍产品 拍美图 拍美人 都好看 待机一天左右 用的较费 运行流畅 清晰 有很多隐藏功能 手感比较重 沉淀感强 适合送礼 和自用 物流很快,2019/11/13 13:27,",,"
1.00E+11,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,4488,"华为P30 Pro,100002795959,0.53kg,中国大陆,麒麟980,8GB,128GB,NM存储卡,后置四摄,4000万像素,3200万像素,景深，后置四摄，红外，微距，光学变焦，光学防抖,6.47英寸,全高清FHD+,其它屏幕比例,水滴屏,4200mAh（典型值）,10V/4A,极光色,人脸识别，快速充电，无线充电，液冷散热，高倍率变焦，屏幕指纹，防水防尘，NFC，曲面屏,≥90%,Android(安卓),40-49W",570000,97,"拍摄功能强,流畅至极,漂亮大方,性能一流,清晰度高,颜色绚丽,充电快速,手感一流,音质上乘,内存充足",13516164254,用了一段时间，手机非常满意，做工精细，充电很快，曲面屏很有画质感，手感很好大小合适，功能全棉，运行速度快，画质很清晰， 最重要的是拍照功能一流，夜拍也十分清晰。,2019/11/24 15:18,"亮黑色,8GB+256GB,标准版"
1.00E+11,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,4488,"华为P30 Pro,100002795959,0.53kg,中国大陆,麒麟980,8GB,128GB,NM存储卡,后置四摄,4000万像素,3200万像素,景深，后置四摄，红外，微距，光学变焦，光学防抖,6.47英寸,全高清FHD+,其它屏幕比例,水滴屏,4200mAh（典型值）,10V/4A,极光色,人脸识别，快速充电，无线充电，液冷散热，高倍率变焦，屏幕指纹，防水防尘，NFC，曲面屏,≥90%,Android(安卓),40-49W",570000,97,"拍摄功能强,流畅至极,漂亮大方,性能一流,清晰度高,颜色绚丽,充电快速,手感一流,音质上乘,内存充足",13158385676,华为P30 pro作为华为新一代旗舰机型，给用户们带来前所未有的摄影体验；摄像方面，该手机搭载了4个摄像头，满足摄影发烧友的任何需求；搭载麒麟980处理器，标配8GB运行内存。麒麟980芯片不仅性能、能效双幅提升，双核NPU更让AI算力飙升，支持更多超乎想象的AI应用场景；续航方面，华为P30 Pro内置4200mAh的大容量电池，为长续航提供了最重要的保证。支持无线快充和反向充电，有线充电配备40W快充，足有目前主流快充技术的两倍有多；之前一直用的苹果手机，除了拍照，我想说说其他的点，第一是我以前都不敢尝试其他牌子的手机，是怕其他手机会卡顿，不流畅。很多身边朋友说不会的你可以尝试一下，现在用了几天，真的想说真香啊，根本不会存在卡。第二是电池真大啊，很喜欢，再也不用带充电宝了，可以从早用到晚，随手拍照片！,2019/8/26 20:48,"极光色,8GB+128GB,标准版"
1.00E+11,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,4488,"华为P30 Pro,100002795959,0.53kg,中国大陆,麒麟980,8GB,128GB,NM存储卡,后置四摄,4000万像素,3200万像素,景深，后置四摄，红外，微距，光学变焦，光学防抖,6.47英寸,全高清FHD+,其它屏幕比例,水滴屏,4200mAh（典型值）,10V/4A,极光色,人脸识别，快速充电，无线充电，液冷散热，高倍率变焦，屏幕指纹，防水防尘，NFC，曲面屏,≥90%,Android(安卓),40-49W",570000,97,"拍摄功能强,流畅至极,漂亮大方,性能一流,清晰度高,颜色绚丽,充电快速,手感一流,音质上乘,内存充足",13449054680,超级闪超级闪的天空之境，连晚上都闪闪发光bulingbuling哦。本来交了另外一款的定金，但是没要了还是选了这款。好吧，很惊艳。大！适合手大的男士。双十一凌晨下单下午下班就送到了.。这速度也只有京东了。上手非常流畅、惊艳啊！特别适合手大的男士！拍照效果没的说，绝对一流,2019/11/12 9:13,"天空之境,8GB+128GB,标准版"
1.00E+11,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,4488,"华为P30 Pro,100002795959,0.53kg,中国大陆,麒麟980,8GB,128GB,NM存储卡,后置四摄,4000万像素,3200万像素,景深，后置四摄，红外，微距，光学变焦，光学防抖,6.47英寸,全高清FHD+,其它屏幕比例,水滴屏,4200mAh（典型值）,10V/4A,极光色,人脸识别，快速充电，无线充电，液冷散热，高倍率变焦，屏幕指纹，防水防尘，NFC，曲面屏,≥90%,Android(安卓),40-49W",570000,97,"拍摄功能强,流畅至极,漂亮大方,性能一流,清晰度高,颜色绚丽,充电快速,手感一流,音质上乘,内存充足",13630373683,是帮同学买的，心仪已久这次终于下手了，手机拿到手已经用了一段时间，真心的不错，手机大小合适，手感非常舒适，镜面非常亮可以当镜子使了，曲面屏更舒适，操作更流畅，配备四个摄像头拍照效果非常好，操作一点都不卡顿，运行速度棒，4200毫安的电池更耐用一些，总之喜欢的童鞋可以考虑喽,2019/12/21 19:40,"亮黑色,8GB+128GB,标准版"
1.00E+11,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,4488,"华为P30 Pro,100002795959,0.53kg,中国大陆,麒麟980,8GB,128GB,NM存储卡,后置四摄,4000万像素,3200万像素,景深，后置四摄，红外，微距，光学变焦，光学防抖,6.47英寸,全高清FHD+,其它屏幕比例,水滴屏,4200mAh（典型值）,10V/4A,极光色,人脸识别，快速充电，无线充电，液冷散热，高倍率变焦，屏幕指纹，防水防尘，NFC，曲面屏,≥90%,Android(安卓),40-49W",570000,97,"拍摄功能强,流畅至极,漂亮大方,性能一流,清晰度高,颜色绚丽,充电快速,手感一流,音质上乘,内存充足",12821443463,方舟编译器很厉害，日常APP比之前用的iPhone 8 Plus流畅，APP都是秒开，游戏打开速度比iPhone慢一点，但不影响游戏流畅度，超级快充很nice，看视频就知道，吃鸡王者温热不发烫不掉帧，50倍变焦也是非常不错，相机可玩性很高，4200毫安电池不玩游戏够用一整天，一个小时多一点可以充满电，学生党买了一个华为40w充电宝。缺点是屏幕伤眼睛，晚上少玩手机，白天没感觉。总之，拍照，信号，续航能力，充电速度，系统优化，价格都比iPhone好。国货当自强，值得入手！,2019/5/30 12:07,"极光色,8GB+256GB,标准版"
1.00E+11,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,4488,"华为P30 Pro,100002795959,0.53kg,中国大陆,麒麟980,8GB,128GB,NM存储卡,后置四摄,4000万像素,3200万像素,景深，后置四摄，红外，微距，光学变焦，光学防抖,6.47英寸,全高清FHD+,其它屏幕比例,水滴屏,4200mAh（典型值）,10V/4A,极光色,人脸识别，快速充电，无线充电，液冷散热，高倍率变焦，屏幕指纹，防水防尘，NFC，曲面屏,≥90%,Android(安卓),40-49W",570000,97,"拍摄功能强,流畅至极,漂亮大方,性能一流,清晰度高,颜色绚丽,充电快速,手感一流,音质上乘,内存充足",13734813203,外观漂亮，屏幕音效很好，拍照效果超棒，运动速度比以前的手机快多了，待机时间比较长，，其他特色还想不起来，等我想起了再说！！对了，家人很喜欢。好手机就是不一样，不耽误事。值得推荐，除了觉得贵些，其他没毛病,2020/1/17 19:55,"亮黑色,8GB+128GB,标准版"
1.00E+11,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,4488,"华为P30 Pro,100002795959,0.53kg,中国大陆,麒麟980,8GB,128GB,NM存储卡,后置四摄,4000万像素,3200万像素,景深，后置四摄，红外，微距，光学变焦，光学防抖,6.47英寸,全高清FHD+,其它屏幕比例,水滴屏,4200mAh（典型值）,10V/4A,极光色,人脸识别，快速充电，无线充电，液冷散热，高倍率变焦，屏幕指纹，防水防尘，NFC，曲面屏,≥90%,Android(安卓),40-49W",570000,97,"拍摄功能强,流畅至极,漂亮大方,性能一流,清晰度高,颜色绚丽,充电快速,手感一流,音质上乘,内存充足",13205101111,信号超好，辐射低，通话声音清楚信号强弱可以通过数字显示来查看，这样就更加清楚明了，手机运行速度非常快，而且持久耐用，充电非常快，最重要的是拍照功能一流，夜拍能力十分清晰！,2019/9/9 11:32,"天空之境,8GB+128GB,标准版"
