商品ID,标题,价格,参数信息,评论数,好评度,热点评论词
31058266221,华为（HUAWEI） 麦芒3S 华为C199/C199S电信4G手机 双卡双待 支持NFC 前白后银 C199电信NFC版,379,"华为（HUAWEI） 麦芒3S 华为C199/C199S电信4G手机 双卡双待 支持NFC 前白后银 C199电信NFC版,31058266221,300.00g,2GB,5.5英寸,3000,其他,其他,其他",100,98,"待机给力,"
31960236374,华为（HUAWEI） 荣耀 畅玩6 移动联通电信4G全网通 智能老人手机 双卡双待7 畅玩6金色 全网通2G+16GB,398,"华为（HUAWEI） 荣耀 畅玩6 移动联通电信4G全网通 智能老人手机 双卡双待7 畅玩6金色 全网通2G+16GB,31960236374,300.00g,2GB,16GB,支持MicroSD(TF),800万像素,500万像素,其他,3020,其他,金色,VOLTE 4G通话",600,97,"操作简便,配置高端,"
55375271446,华为（HUAWEI） 荣耀 畅玩6 全网通4G智能手机 双卡双待移动联通电信4G手机安卓畅玩5 畅玩6金色全网通,398,"华为（HUAWEI） 荣耀 畅玩6 全网通4G智能手机 双卡双待移动联通电信4G手机安卓畅玩5 畅玩6金色全网通,55375271446,0.6kg,其他,其它内存,16GB,其它存储卡,后置单摄,800万像素,500万像素,其他英寸,标清SD,其它屏幕比例,其他,2200,5V/1A,金色,Android(安卓)",700,98,"小巧精致,"
30056880423,华为（HUAWEI） 畅享5 移动联通电信4G手机 双卡双待 白色 移动4G（2GB运存 16GB内存）,398,"华为（HUAWEI）畅享5,30056880423,1.0kg,16GB,其它存储卡,其他,其他,其他,4000,其他,白色",200,97,nan
26088665689,华为（HUAWEI） 荣耀 畅玩5 全网通4G智能手机 老人机 双卡双待 移动版黑色(2G+16G),399,"华为（HUAWEI） 畅玩5,26088665689,1.0kg,其他,16GB,支持MicroSD(TF),后置单摄,800万像素,200万像素,5.0英寸,其它分辨率,其它屏幕比例,其他,2200,其他,黑色,Android(安卓)",300,95,"声音洪亮,"
31910937627,华为（HUAWEI） 荣耀 畅玩7（2G+16G） 全面屏 智能老人手机 全网通4G 畅玩7 金色,408,"华为（HUAWEI） 荣耀 畅玩7（2G+16G） 全面屏 智能老人手机  全网通4G手机 畅玩7 金色,31910937627,500.00g,2GB,16GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020,其他,金色,VOLTE 4G通话",100,99,nan
54593443561,华为（HUAWEI）荣耀 畅玩7 2GB+16GB 全网通4G手机 双卡双待 金色 全网通(2GB 16GB),408,"华为（HUAWEI）荣耀 畅玩7 2GB+16GB 全网通4G手机 双卡双待 金色 全网通(2GB 16GB),54593443561,315.00g,2GB,16GB,其它存储卡,其他,其他,其他,3020mAh(典型容量),其他,金色,其他",80,94,nan
29044581674,荣耀畅玩7华为手机 全网通4G 全面屏双卡双待 智能老人手机 金色 全网通(2+16G),409,"荣耀畅玩7华为手机 全网通4G 全面屏双卡双待 智能老人手机 金色 全网通(2+16G),29044581674,200.00g,其它内存,其它存储,其它存储卡,1300万像素,500万像素,其他,3020以官网信息为准,5V/1A,其他,人脸识别,移动4G+",27000,97,"反应超快,清晰度高,使用方便,手感一流,声音洪亮,待机给力,拍摄功能强,小巧精致,质地细腻,配置高端,"
38886901684,华为（HUAWEI）荣耀畅玩7 移动联通电信4G 全面屏智能老人手机 全网通版 金色 2GB RAM+16GB ROM,419,"华为（HUAWEI）畅玩7,38886901684,200.00g,16GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020,5V/1A,其他,人脸识别,VOLTE 4G通话",5500,97,"清晰度高,流畅至极,声音洪亮,功能齐全,电力充足,操作简便,照相一流,像素一流,"
57172040696,华为（HUAWEI） 畅玩7 智能老人手机 蓝色 全网通 (2GB RAM+16GB ROM),419,"华为（HUAWEI）畅玩7,57172040696,1.0kg,2GB,16GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020,5V/1A,蓝色,人脸识别",300,96,nan
62318783698,华为（HUAWEI） 华为畅享8e青春版手机 金色 全网通（2GB+32GB）,429,"华为（HUAWEI）8e青春版,62318783698,500.00g,2GB,其它存储,不支持存储卡,其他,其他,其他,3020mAh(典型值）,其他,金色,其他",3000,97,"声音清晰,"
16291127708,荣耀畅玩7 移动联通电信4G 智能老人手机 黑色 全网通(2G+16G),429,"荣耀畅玩7 移动联通电信4G 智能老人手机 黑色 全网通(2G+16G),16291127708,200.00g,2GB,16GB,支持MicroSD(TF),1300万像素,500万像素,其他,0,5V/1A,黑色,其他",5700,98,"操作简便,从未卡机,"
26011638400,华为（HUAWEI） 华为荣耀畅玩5X 智能手机 银色 移动4G,429,"华为（HUAWEI）畅玩5X ,26011638400,500.00g,16GB,其它存储卡,1300万像素,500万像素,其他,0,其他,银色,其他",400,97,nan
32561702252,华为畅享8e 青春版 双卡双待智能老人手机 金色 全网通(2G+32G),436,"华为畅享8e 青春版 双卡双待智能老人手机 金色 全网通(2G+32G),32561702252,200.00g,其它内存,其它存储,支持MicroSD(TF),1300万像素,500万像素,其他,3020以官网信息为准,5V/1A,其他,快速充电",3900,95,"流畅至极,清晰度高,颜色绚丽,悦耳动听,使用简便,配置高端,持久耐用,手感一流,轻薄适中,内存充足,"
32950393438,华为畅享8e青春版手机【现货速发/享10重保障】 全网通 黑色 2GB+32G,438,"华为（HUAWEI）华为畅享8e青春版,32950393438,200.00g,32GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020,5V/1A,其他",800,92,"反应超快,待机给力,"
28331229416,华为（HUAWEI） 荣耀 畅玩7 全网通 移动联通电信4G 全面屏智能老人老年手机 双卡双待 金色 全网通(2G RAM+16G ROM),439,"华为（HUAWEI）荣耀畅玩7,28331229416,310.00g,16GB,支持MicroSD(TF),其他,其他,其他,3020,5V/1A,金色,人脸识别,其他",57000,98,"声音洪亮,完美运行,使用方便,拍照一流,清晰度高,功能齐全,颜色绚丽,小巧精致,待机给力,内存充足,"
28544308590,华为（HUAWEI） 畅享8e青春版 手机 金色 全网通(2G+32G),439,"华为（HUAWEI） 畅享8e青春版 手机 金色 全网通(2G+32G),28544308590,0.6kg,32GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020mAh,5V/1A,金色",2300,97,"品质优良,流畅至极,使用轻便,小巧精致,"
35928599186,华为 荣耀 畅玩7 全网通老年人智能手机 黑色 2GB+16GB,439,"华为（HUAWEI）畅玩7,35928599186,310.00g,其它存储,其它存储卡,其他,其他,其他,3020mAh（以官方信息为准）,5V/1A,黑色,人脸识别,其他",100,96,"做工精湛,"
48032882282,华为（HUAWEI）荣耀 畅玩7 全面屏智能老人手机 黑色 公开全网通(2GB+16GB),439,"华为（HUAWEI）畅玩7,48032882282,400.00g,16GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020mAh（典型容量）,5V/1A,黑色",200,97,nan
